Year,Region,Technology,Hour,Fuel,value
2020,FR,PHS,2,Power,-0.0
2040,FR,PHS,90,Power,-0.0
2020,FR,Battery,112,Power,25.020009003000816
2020,UK,H2Tank,2,H2,5.0
2030,NO,H2Tank,14,H2,9.167011800380712
2050,DK,H2Tank,42,H2,18.22661470789474
2040,FR,H2Tank,8,H2,50.0
2040,UK,Battery,114,Power,200.12004201120246
2020,FR,H2Tank,110,H2,23.594599800350878
2050,DE,Battery,52,Power,208.1311834748125
2050,DK,H2Tank,48,H2,0.0
2020,FR,PHS,14,Power,-0.0
2030,DE,PHS,73,Power,-0.0
2040,DK,PHS,107,Power,0.0
2050,NO,Battery,80,Power,15.148444629599481
2050,DK,Battery,30,Power,33.914700582525434
2020,FR,PHS,70,Power,-0.0
2050,DE,H2Tank,33,H2,175.0
2050,DE,Battery,32,Power,276.51079475395676
2020,NO,H2Tank,19,H2,0.20559964905375022
2050,UK,Battery,77,Power,732.9451655556461
2030,FR,H2Tank,102,H2,29.22041513699848
2020,NO,PHS,6,Power,-0.0
2040,DE,Battery,79,Power,48.28512359482659
2050,DK,Battery,72,Power,117.79542887115025
2040,DE,PHS,21,Power,-0.0
2050,UK,Battery,26,Power,0.0
2050,FR,PHS,105,Power,507.560341535834
2020,UK,H2Tank,34,H2,1.8798449490473361
2030,UK,Battery,105,Power,149.985
2050,NO,Battery,34,Power,-0.0
2020,FR,PHS,38,Power,-0.0
2030,DK,Battery,68,Power,38.24953847983606
2040,FR,H2Tank,104,H2,100.0
2020,UK,PHS,68,Power,-0.0
2040,NO,PHS,78,Power,-0.0
2020,DE,PHS,95,Power,-0.0
2030,DE,PHS,38,Power,-0.0
2040,FR,H2Tank,112,H2,35.135292210382445
2020,NO,H2Tank,8,H2,0.2399707709052627
2030,DK,PHS,50,Power,0.0
2020,DE,Battery,17,Power,0.0
2030,NO,H2Tank,53,H2,23.938248436345564
2040,DE,H2Tank,108,H2,27.399603291929672
2040,UK,H2Tank,104,H2,30.0
2030,UK,Battery,34,Power,48.27099267804918
2040,DK,Battery,92,Power,41.20420930177829
2040,UK,PHS,60,Power,-0.0
2020,FR,H2Tank,39,H2,15.425975043687398
2030,DE,H2Tank,54,H2,70.0
2030,FR,PHS,97,Power,-0.0
2030,NO,Battery,104,Power,-0.0
2040,FR,H2Tank,21,H2,22.42321714989042
2020,FR,H2Tank,26,H2,0.0
2030,DK,H2Tank,95,H2,0.0
2040,UK,Battery,3,Power,175.54447186720742
2040,DE,H2Tank,90,H2,39.85297455452873
2050,UK,PHS,10,Power,158.96929058998177
2020,FR,Battery,109,Power,25.641715084278314
2050,FR,H2Tank,87,H2,187.03071964392925
2030,FR,PHS,3,Power,-0.0
2030,DE,H2Tank,7,H2,26.164292139978937
2020,DK,PHS,68,Power,0.0
2030,DK,H2Tank,13,H2,0.0
2040,FR,PHS,81,Power,-0.0
2040,FR,PHS,17,Power,-0.0
2020,FR,PHS,107,Power,-0.0
2040,DE,PHS,19,Power,-0.0
2050,UK,H2Tank,47,H2,47.0694686684305
2020,DK,PHS,102,Power,0.0
2050,DK,Battery,117,Power,135.69666874088756
2020,FR,Battery,61,Power,25.019240154132525
2040,DE,Battery,101,Power,77.35878488131209
2050,DE,Battery,104,Power,574.3233965617528
2050,NO,PHS,45,Power,290.5683190992538
2050,DK,H2Tank,23,H2,10.526315789473683
2020,DE,H2Tank,14,H2,0.0
2020,DK,H2Tank,29,H2,0.0
2020,UK,PHS,105,Power,-0.0
2050,UK,PHS,14,Power,142.671605827255
2020,FR,PHS,24,Power,-0.0
2020,DK,PHS,26,Power,0.0
2020,DK,H2Tank,94,H2,0.0
2030,NO,PHS,74,Power,-0.0
2020,UK,Battery,10,Power,1.2916471279850021
2040,FR,PHS,9,Power,-0.0
2040,DE,PHS,47,Power,-0.0
2040,NO,H2Tank,83,H2,89.62450596140351
2050,NO,Battery,70,Power,7.745912030547406
2030,DK,Battery,42,Power,12.709352728091048
2020,DE,H2Tank,86,H2,29.704675461
2040,DE,H2Tank,37,H2,130.0
