Year,Region,Technology,Hour,Fuel,value
2020,NO,H2Tank,58,H2,0.26596760441999945
2020,DE,H2Tank,53,H2,36.31652899717804
2040,NO,H2Tank,54,H2,6.258644226775001
2040,FR,PHS,27,Power,-0.0
2050,UK,H2Tank,105,H2,130.0
2050,DE,PHS,51,Power,372.9122750002614
2050,DK,PHS,63,Power,79.31163893435388
2020,FR,H2Tank,88,H2,30.691146205684213
2050,NO,Battery,86,Power,-0.0
2040,FR,H2Tank,11,H2,58.839508714767625
2020,FR,PHS,42,Power,-0.0
2020,DK,H2Tank,90,H2,0.0
2050,DE,Battery,94,Power,387.2590670957872
2030,FR,PHS,81,Power,-0.0
2030,FR,PHS,17,Power,-0.0
2050,UK,Battery,65,Power,583.2499458390201
2020,UK,PHS,7,Power,-0.0
2030,DE,PHS,19,Power,-0.0
2050,DE,H2Tank,8,H2,87.5
2020,UK,PHS,62,Power,-0.0
2020,NO,Battery,111,Power,-0.0
2030,DE,Battery,101,Power,30.36427078256756
2040,DK,H2Tank,81,H2,15.0
2050,FR,Battery,51,Power,79.20801684781145
2020,DE,Battery,21,Power,-0.0
2020,FR,Battery,87,Power,49.96501049825018
2020,UK,Battery,99,Power,4.888250076234318
2020,UK,H2Tank,103,H2,10.0
2050,NO,Battery,46,Power,-0.0
2040,UK,Battery,47,Power,85.82490737015911
2040,NO,PHS,92,Power,-0.0
2030,FR,PHS,9,Power,-0.0
2050,FR,Battery,47,Power,87.80316055834007
2040,FR,PHS,83,Power,-0.0
2050,DE,Battery,59,Power,463.1177984880492
2030,DE,PHS,47,Power,-0.0
2030,NO,H2Tank,83,H2,0.6873577107513182
2020,DK,Battery,49,Power,0.0
2050,FR,PHS,11,Power,387.2218816798521
2050,DE,H2Tank,23,H2,20.585445280263162
2030,DE,H2Tank,37,H2,61.906172085927814
2050,DE,H2Tank,51,H2,36.52659606192877
2030,FR,H2Tank,111,H2,20.672178977085053
2050,NO,Battery,53,Power,-0.0
2040,FR,Battery,55,Power,142.16219428789756
2050,NO,Battery,23,Power,0.0
2030,FR,H2Tank,92,H2,-0.0
2040,DK,PHS,49,Power,0.0
2040,FR,H2Tank,76,H2,49.97726643130619
2050,NO,H2Tank,69,H2,98.79249871312209
2020,DE,PHS,50,Power,-0.0
2050,DE,PHS,9,Power,489.16173939169033
2050,DK,PHS,86,Power,103.46022065502265
2030,UK,H2Tank,35,H2,9.557472766487239
2020,NO,PHS,90,Power,-0.0
2050,DE,H2Tank,24,H2,13.480461568421056
2040,DK,H2Tank,41,H2,15.0
2050,DK,Battery,89,Power,255.33354644525815
2020,FR,Battery,23,Power,0.7359696399535316
2020,NO,PHS,13,Power,-0.0
2020,DK,PHS,45,Power,0.0
2020,NO,Battery,72,Power,-0.0
2030,UK,PHS,106,Power,-0.0
2050,DK,PHS,82,Power,106.06315124177402
2040,NO,PHS,31,Power,-0.0
2050,DE,Battery,10,Power,95.85768861765673
2050,FR,PHS,51,Power,407.5498606502069
2030,DK,PHS,52,Power,0.0
2020,DE,PHS,45,Power,-0.0
2040,UK,PHS,56,Power,-0.0
2050,DE,H2Tank,60,H2,175.0
2030,NO,PHS,11,Power,-0.0
2050,FR,Battery,92,Power,1115.5706673342113
2040,NO,PHS,80,Power,-0.0
2020,DE,H2Tank,56,H2,42.911754305400855
2040,DE,Battery,80,Power,142.95057235225244
2040,NO,H2Tank,114,H2,31.82370751075
2020,DE,H2Tank,35,H2,15.634039716315788
2040,FR,Battery,3,Power,151.27143972244426
2020,DK,H2Tank,61,H2,0.0
2030,UK,PHS,88,Power,-0.0
2030,NO,Battery,37,Power,-0.0
2020,NO,H2Tank,101,H2,0.506604960799999
2040,NO,Battery,106,Power,-0.0
2040,NO,PHS,4,Power,-0.0
2030,UK,PHS,36,Power,-0.0
2020,DK,Battery,44,Power,-0.0
2020,NO,PHS,3,Power,-0.0
2030,UK,PHS,81,Power,-0.0
2020,NO,PHS,95,Power,-0.0
2040,NO,Battery,12,Power,-0.0
2040,FR,PHS,111,Power,-0.0
